puzzleId,datasetMove,gpt0-move,gpt0-valid,gpt0-done,gpt1-move,gpt1-valid,gpt1-done,gpt2-move,gpt2-valid,gpt2-done,gpt-results
001gi,a5c3,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
001wb,g6h5,h8g8,True,False,h8f8,True,False,a7a5,True,False,False False False
002CP,g6c2,a8f8,True,False,g8h8,True,False,a8f8,True,False,False False False
003IX,e4g3,e7f8,True,False,d7d6,True,False,e4f2,True,False,False False False
004iZ,g3g7,d4f6,True,False,d4f6,True,False,g3g7,True,True,False False True
004zI,h6h8,h6h8,True,True,h6h8,True,True,h6h8,True,True,True True True
008Nz,d1d8,d1d8,True,True,g3h3,True,False,d1d8,True,True,True False True
008o6,a8f8,a8a7,True,False,a8b7,True,False,a8f8,True,True,False False True
009L0,c1d1,e7e8,True,False,e7e8,True,False,a7a5,True,False,False False False
00Bm8,g6g2,g6f7,True,False,g6h5,True,False,g7h8,True,False,False False False
00C7m,b4h4,b4d4,True,False,b4b1,True,False,f7e7,True,False,False False False
00DPQ,g3h2,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
00FHX,c1c8,c1c7,True,False,g2g3,True,False,c1c8,True,True,False False True
00G0z,f4h2,f4f7,True,False,d7e8,True,False,d7e8,True,False,False False False
00GRa,e4h7,e4f3,True,False,e4d5,True,False,e4h7,True,True,False False True
00H1C,a5c7,d7d8,True,False,d7d8,True,False,a5c7,True,True,False False True
00H9n,h3g2,h3h1,True,False,h3h8,False,False,h8g8,True,False,False False False
00HHN,e8e1,e8e1,True,True,e8g8,True,False,e8f8,True,False,True False False
00HPz,c6c5,g8h8,True,False,g8f8,True,False,g8h8,True,False,False False False
00HoG,g6h7,g6g8,True,False,g6g8,True,False,g6g8,True,False,False False False
00Hxb,e1e8,c6e8,True,False,c6e8,True,False,c6e8,True,False,False False False
00IPp,e3f3,e3f2,True,False,e3f3,True,True,e3g5,True,False,False True False
00ITc,d4g7,d4c3,True,False,d4d8,True,False,d4d8,True,False,False False False
00IaZ,e8b8,e8h8,True,False,e8h8,True,False,e8h8,True,False,False False False
00J7i,b7g7,b7c8,True,False,b7c8,True,False,b7c8,True,False,False False False
00JO7,h7h8,h3h8,False,False,h7h8,True,True,h7h8,True,True,False True True
00KYE,d6h2,f8e8,True,False,d6d8,True,False,d6d8,True,False,False False False
00MYL,f7b7,f7f8,True,False,b8h8,True,False,b8f8,True,False,False False False
00OPk,d6f7,d6e8,True,False,d6e8,True,False,d6e8,True,False,False False False
00OXc,f3h3,f7g8,True,False,f3f1,True,False,f3f1,True,False,False False False
00Or5,b3f7,e5f7,True,False,b3b7,True,False,e5f7,True,False,False False False
00Ozz,e1e8,f7g8,True,False,f7g8,True,False,f7g8,True,False,False False False
00P7n,g4g7,g4g7,True,True,g4h5,True,False,g4g7,True,True,True False True
00QY3,h3f1,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00QZV,f5f1,c6b8,True,False,c6b8,True,False,d8e8,True,False,False False False
00RoG,g4g1,d8f8,True,False,d8f8,True,False,d8f8,True,False,False False False
00SMl,d5f6,d5e7,True,True,h1h8,True,False,d5e7,True,True,True False True
00SOy,h4h1,h4f2,True,False,g8h8,True,False,h4d8,True,False,False False False
00STy,b7b6,h7h8,True,False,h7h8,True,False,h7h8,True,False,False False False
00SeK,d4g7,d4h8,True,False,d4h8,True,False,d4h8,True,False,False False False
00SfT,h5h7,h5h8,True,False,h5h8,True,False,h5h8,True,False,False False False
00T85,f2d2,f2f1,True,False,f2f8,True,False,f2f7,True,False,False False False
00VIe,a2d2,e3e4,True,False,e3f4,True,False,e3f4,True,False,False False False
00ViT,g7g5,g8h8,True,False,d5a8,True,False,d5a8,True,False,False False False
00X1l,f1f8,a7b8,True,False,a7b8,True,False,a7b8,True,False,False False False
00X2S,a5c7,e5h8,True,False,e5h8,True,False,e5h8,True,False,False False False
00Xfn,h1h8,d4h8,True,False,h1h8,True,True,d4h8,True,False,False True False
00Xiu,h4e1,h4e1,True,True,h4g3,True,False,h4d8,True,False,True False False
00Zh6,e4f6,e5f7,True,False,e5f7,True,False,e5f7,True,False,False False False
00all,c1c8,f1c4,True,False,f1c4,True,False,c1c6,True,False,False False False
00c0D,g4f2,g4e5,True,False,h8h7,True,False,h8h7,True,False,False False False
00c89,g3g7,h3f5,True,False,b4a3,True,False,b4c5,True,False,False False False
00cZ4,f4h2,f4f8,True,False,f4f8,True,False,f4f8,True,False,False False False
00d8a,d6h2,d6f8,True,False,h8g8,True,False,d6f4,True,False,False False False
00dzs,e1e8,b6c7,True,False,b6a5,True,False,b6c7,True,False,False False False
00eC6,e4f2,d8d7,True,False,d8h8,True,False,d8h8,True,False,False False False
00euQ,f6f2,f6d8,True,False,f6d8,True,False,f6d8,True,False,False False False
00f1D,c4e6,d1d6,True,False,f3f7,True,False,f3f8,True,False,False False False
00fDM,h6g7,h6h8,True,False,h6h8,True,False,h6h8,True,False,False False False
00fK0,h4h7,f6g8,True,False,h4h8,True,False,f6h7,True,False,False False False
00fXd,a7c5,a7b8,True,False,g5h7,True,False,a7b8,True,False,False False False
00fZM,h6h8,d4h8,True,False,h6h8,True,True,d4h8,True,False,False True False
00g2W,b7h1,b7c8,True,False,e1e4,True,False,b7c8,True,False,False False False
00g5t,c4f1,c4d3,True,False,c4c6,True,False,c4d3,True,False,False False False
00j1r,a2d5,d3d8,True,False,d3d8,True,False,d3d8,True,False,False False False
00jPw,h5g3,h5g7,True,False,h4h3,True,False,g8f7,True,False,False False False
00k4u,g5g2,h6g7,True,False,g8h8,True,False,g8g7,True,False,False False False
00kT1,d3h7,d3h7,True,True,d3h7,True,True,d3h7,True,True,True True True
00mJq,c6g2,g7g8,True,False,g7g8,True,False,d7f8,True,False,False False False
00n6z,h8h4,f2g1,True,False,h8g8,True,False,h8g8,True,False,False False False
00nNa,c4e4,c7d8,True,False,c7c8,True,False,c7d8,True,False,False False False
00nlD,h4h2,g7f8,True,False,e8g8,True,False,e5e4,True,False,False False False
00ns1,f4f1,f8g8,False,False,f8g7,False,False,f8d8,True,False,False False False
00ohT,h6h1,g8f8,True,False,g8f8,True,False,g8f8,True,False,False False False
00pmn,e4e1,e4d3,True,False,e4e8,True,False,e4e1,True,True,False False True
00rIF,b8h8,b8h8,True,True,b8h8,True,True,f6e7,True,False,True True False
00rTX,h4e1,d8e8,True,False,g8f8,True,False,d8c8,True,False,False False False
00rzr,g7f8,g7h8,True,False,g7h8,True,False,g7h8,True,False,False False False
00sco,h6g7,h6f8,True,False,h6f8,True,False,h6h7,True,False,False False False
00slf,e1e8,d5d8,False,False,d5g8,True,False,d5g8,True,False,False False False
00ud8,e5e1,f6d7,True,False,f8e8,True,False,f6e4,True,False,False False False
00w1s,e1e8,h6g7,True,False,f3e5,True,False,h6g7,True,False,False False False
00wVj,a4a1,f8g8,True,False,f7f6,True,False,f8g8,True,False,False False False
00y2j,c6e8,g7h8,True,False,c6e4,True,False,g7g8,True,False,False False False
