puzzleId,datasetMove,gpt0-move,gpt0-valid,gpt0-done,gpt1-move,gpt1-valid,gpt1-done,gpt2-move,gpt2-valid,gpt2-done,gpt-results
001gi,a5c3,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
001wb,g6h5,e8f8,True,False,h8g8,True,False,e8g8,True,False,False False False
002CP,g6c2,g6h8,False,False,g6h8,False,False,g6f7,True,False,False False False
003IX,e4g3,e7f8,True,False,e7d8,True,False,g4g8,True,False,False False False
004iZ,g3g7,d4g7,True,False,g3g7,True,True,d4e5,True,False,False True False
004zI,h6h8,h6g7,True,False,h6h8,True,True,h6h8,True,True,False True True
008Nz,d1d8,d1d8,True,True,d1d8,True,True,a5b6,True,False,True True False
008o6,a8f8,a8f8,True,True,a8h1,True,False,a8b8,True,False,True False False
009L0,c1d1,e7e8,True,False,b6c4,True,False,g8h8,True,False,False False False
00B2k,h4f2,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00Bm8,g6g2,g7h8,True,False,g6h5,True,False,g7g8,True,False,False False False
00C7m,b4h4,b4a3,False,False,b4b1,True,False,f7f8,True,False,False False False
00DPQ,g3h2,h8g8,True,False,h8h7,True,False,h8g8,True,False,False False False
00FHX,c1c8,g1h1,True,False,c1c8,True,True,g1h2,True,False,False True False
00G0z,f4h2,d7e6,True,False,d7f5,True,False,d7h3,True,False,False False False
00GRa,e4h7,e4h7,True,True,,False,False,e4h7,True,True,True False True
00H1C,a5c7,a5c7,True,True,d7d8,True,False,a5c7,True,True,True False True
00H9n,h3g2,h3c8,True,False,h3g2,True,True,f3h1,False,False,False True False
00HHN,e8e1,e8g8,True,False,e8g8,True,False,e8g8,True,False,False False False
00HPz,c6c5,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00HoG,g6h7,g6g8,True,False,g6g8,True,False,g6g8,True,False,False False False
00Hxb,e1e8,c6e8,True,False,c6e8,True,False,c6e8,True,False,False False False
00IPp,e3f3,e3g5,True,False,e3h3,True,False,e3h3,True,False,False False False
00ITc,d4g7,d4d8,True,False,d4d8,True,False,d4d8,True,False,False False False
00IaZ,e8b8,e8h8,True,False,e7e8,False,False,e8h8,True,False,False False False
00J7i,b7g7,b7c8,True,False,b7c6,True,False,b7c8,True,False,False False False
00JO7,h7h8,h3h8,False,False,h7h8,True,True,h7h8,True,True,False True True
00KYE,d6h2,h8g8,True,False,h8h7,True,False,h8g8,True,False,False False False
00MYL,f7b7,b8h8,True,False,f7f8,True,False,b8h8,True,False,False False False
00OPk,d6f7,d6e8,True,False,d6e8,True,False,d6e8,True,False,False False False
00OXc,f3h3,f3f4,True,False,f3g3,True,False,f3f7,False,False,False False False
00Or5,b3f7,e5f7,True,False,b3b7,True,False,b3a4,True,False,False False False
00Ozz,e1e8,f7g8,True,False,f7g8,True,False,f7g8,True,False,False False False
00P7n,g4g7,e7e8,True,False,g4g7,True,True,g4g7,True,True,False True True
00QY3,h3f1,g8f8,True,False,g8h8,True,False,g8h8,True,False,False False False
00QZV,f5f1,f5f1,True,True,c6e7,True,False,c6a5,True,False,True False False
00RoG,g4g1,c8b8,True,False,g8h6,True,False,d8f8,True,False,False False False
00SMl,d5f6,h1h8,True,False,h1h8,True,False,d5e7,True,True,False False True
00SOy,h4h1,g8h8,True,False,h4h1,True,True,h5h2,False,False,False True False
00STy,b7b6,h7h8,True,False,h7h8,True,False,h7h8,True,False,False False False
00SeK,d4g7,d4h8,True,False,d4h8,True,False,d4h8,True,False,False False False
00SfT,h5h7,h5h8,True,False,h5h8,True,False,h5h8,True,False,False False False
00T85,f2d2,f2f8,True,False,e3f4,True,False,f2f8,True,False,False False False
00VIe,a2d2,a2a1,True,False,h5h4,True,False,h5h4,True,False,False False False
00ViT,g7g5,d5a8,True,False,g7g5,True,True,g8h8,True,False,False True False
00X1l,f1f8,b3g8,True,False,b3g8,True,False,a2a3,True,False,False False False
00X2S,a5c7,e5h8,True,False,e5h8,True,False,e5h8,True,False,False False False
00Xfn,h1h8,d2d3,True,False,h1h8,True,True,g6h7,True,False,False True False
00Xiu,h4e1,h4f2,True,False,b6c8,True,False,b6c8,True,False,False False False
00Zh6,e4f6,e5f7,True,False,e5f7,True,False,e5f7,True,False,False False False
