puzzleId,datasetMove,gpt0-move,gpt1-move,gpt2-move,gpt-valids,gpt-results
040x1,h4d8,h4h8,h4h8,h4h8,True True True,False False False
0N6mX,f4h6,f6g8,f6g8,f6g8,True True True,False False False
0KDAM,f6h8,g6h8,g6h8,g6h8,True True True,False False False
0VhtY,e7e3,e7e1,e7e1,e7e1,False False False,False False False
0CDws,f7f4,f7h7,f7h7,f7h7,True True True,False False False
07D6Y,d1h5,d1h5,d1h5,d1g4,True True True,True True False
0884u,c5f8,g5f7,g5f7,g5f7,True True True,False False False
076nr,h4f2,h4f2,h4f2,h4f2,True True True,True True True
0JTjq,g4g5,b7b8,b7b8,b7b8,True True True,False False False
0FcsQ,c1e1,c1e1,c1e1,c1e1,True True True,True True True
0UExY,b8g8,b8g8,b8g8,b8g8,True True True,True True True
0R0hX,h6f7,h6g8,h6g8,h6g8,True True True,False False False
0XFYj,d8d1,d8d1,d8d1,d8d1,True True True,True True True
0Rb46,e6e4,f6g6,f6g6,f6g6,True True True,False False False
03pZy,h3h7,h3h7,h3h7,h3h7,True True True,True True True
0GVJY,c1g1,c1h1,c1h1,c1d2,True True True,False False False
08gHY,a5e1,d5e4,d5e4,d5e4,True True True,False False False
0ReXO,e2e1,f3e3,f3e3,f3e3,True True True,False False False
0T6As,e7d6,e7e8,e7e8,e7e8,True True True,False False False
0N2Fu,c3b2,c3b2,c3b2,c3b2,True True True,True True True
0HLTw,f4f5,f4f8,f4f8,f4f8,True True True,False False False
0WDC1,f8f1,e7g6,c7h2,c7h2,True True True,False False False
0LGf4,e2d1,e2e1,e2e1,e2e1,True True True,False False False
06EU4,a3a6,a3a7,a3a7,a3a7,True True True,False False False
08dbu,c6g2,c6g2,c6g2,c6g2,True True True,True True True
08d4y,b2e2,b2b3,b2b3,b2e2,True True True,False False True
0FimY,e2f1q,e2f1q,e2f1q,e2f1q,True True True,True True True
0D9Gr,g3g7,g3g7,g3g7,g3g7,True True True,True True True
0WhEZ,d5c6,g5d8,g5d8,g5d8,True True True,False False False
0Efwt,c5c8,e5h8,e5h8,e5h8,True True True,False False False
0InOi,d1d6,f7e8,f7e8,f7e8,True True True,False False False
05hfp,g4f2,f3f4,f3f4,f3f4,True True True,False False False
0WuNE,c6e6,c6e8,c6e8,c6e8,True True True,False False False
00Ozz,e1e8,e1e8,e1e8,e1e8,True True True,True True True
087QQ,f3d3,f3e2,f3e2,f3e2,True True True,False False False
0Vha7,e4d6,b5c6,e4f6,b5c6,True True True,False False False
0EkWm,d2h2,h4h2,h4h2,h4h2,True True True,True True True
0PsVA,c1h1,c1h1,c1h1,c1h1,True True True,True True True
0NpI9,h6g7,h6h8,h6h8,h6h8,True True True,False False False
0Y8FO,g2g3,e3h6,e1g1,e3h6,True True True,False False False
06qEz,d3d8,d3d8,d3d8,d3d8,True True True,True True True
0LQjN,b8b5,b8c7,b8c7,b8c7,True True True,False False False
00ns1,f4f1,f4f1,f8f1,f8f1,True False False,True False False
05cho,g3g7,f6h8,f6h8,f6h8,True True True,False False False
00n6z,h8h4,h8h7,h8g7,h8g8,True True True,False False False
0EK6e,e2e6,e2e8,e2e8,e2e8,True True True,False False False
07cjT,b5e2,b2b1,b5e2,b2b1,True True True,False True False
0GkCQ,e5g5,f6h8,f6h8,f6h8,True True True,False False False
0JKDh,d7b5,d7a4,d7a4,d7b5,True True True,False False True
0Dyx2,e8h8,e8h8,e8h8,e8h8,True True True,True True True
